Scode,Coname,NewsDt,NewsID,Newsmedia,Buyernm,Sellernm,Subnm,Eqtrart,MAprice,Currut,Ifrumor,State,corporation_name
600533,栖霞建设,2015-11-03,F1169726044,东方财富网,栖霞建设,栖霞集团,河北银行,8.78%,13.84,人民币,否,无,河北银行
600538,国发股份,2016-03-03,G443454506,财经网,国发股份,无,河南德宝股权,100.00%,6.5,人民币,否,无,河南德宝股权
600550,保变电气,2016-11-27,G2064824137,中国证券网,保变电气,无,云变电气79.97%,79.97%,16.0,人民币,否,无,云变电气79.97%
600551,时代出版,2017-02-28,K14610750,挖贝网,时代出版,数智源全体股东,数智源,100.00%,4.3,人民币,否,无,数智源
600559,老白干酒,2017-11-07,A2049362063,东方财富网,老白干酒,佳沃集团、君和聚力、汤捷、方焰、谭小林,丰联酒业100%股权,100.00%,13.99,人民币,否,无,丰联酒业100%股权
600567,山鹰纸业,2017-07-21,P1515956537,凤凰财经,山鹰纸业,HBB公司、Petek公司,NordicPaperHoldingAB61.2%的股权、Nordic公司38.8%的股权,NordicPaperHoldingAB61.2%；Nordic公司38.8%,19.52,人民币,否,无,HBB公司、Petek公司
600569,安阳钢铁,2014-12-12,G1551290866,凤凰财经,安阳钢铁,安钢集团,舞阳矿业100%股权,100.00%,22.46,人民币,否,无,安钢集团
600570,恒生电子,2017-08-30,D2048939440,东方财富网,恒生电子,无,大智慧(香港)51%的股权,51.00%,3.67,人民币,否,无,大智慧(香港)51%的股权
600575,皖江物流,2015-08-30,C715212611,凤凰财经,皖江物流,淮南矿业,淮沪煤电50.43%股权、淮沪电力49%股权、发电公司100%股权,淮沪煤电50.43%；淮沪电力49%；发电公司100%,40.39,人民币,否,无,淮南矿业
600576,万好万家,2014-08-28,D1398111388,凤凰财经,万好万家,无,青雨影视、兆讯传媒、翔通动漫三家文化传媒公司100%股权,青雨影视100%；兆讯传媒100%；翔通动漫100%,30.65,人民币,否,无,青雨影视、兆讯传媒、翔通动漫三家文化传媒公司100%股权
600576,万家文化,2016-07-22,F346434554,网易,万家文化,上海斐弈、上海翊臣、上海隽迈；上海智碧、上海尚陌、上海哆快,隆麟网络股权；快屏网络股权,隆麟网络100%；快屏网络100%,7.84,人民币,否,无,隆麟网络股权；快屏网络股权
600577,精达股份,2016-09-29,M387911204,中国证券网,精达股份,无,高锐视讯股权,100.00%,60.0,人民币,否,无,高锐视讯股权
600578,京能电力,2016-02-03,P2091039976,网易,京能电力,京能集团,京能煤电100%股权,100.00%,69.36,人民币,否,无,京能集团
600585,海螺水泥,2006-07-17,N1495537977,新浪,海螺水泥,海螺集团；海创公司,安徽宁昌塑料包装有限公司100%股权、芜湖海螺塑料制品有限公司75%股权、以及上海海螺建材国际贸易有限公司100%股权；海创公司持有的安徽荻港海螺水泥(资讯行情论坛)股份有限公司49%股权、安徽枞阳海螺水泥股份有限公司49%股权、安徽池州海螺水泥股份有限公司49%股权、以及安徽铜陵海螺有限责任公司31.86%的股权,安徽宁昌塑料包装有限公司100%；芜湖海螺塑料制品有限公司75%；上海海螺建材国际贸易有限公司100%；安徽荻港海螺水泥股份有限公司49%；安徽枞阳海螺水泥股份有限公司49%；安徽池州海螺水泥股份有限公司49%；安徽铜陵海螺有限责任公司31.86%,41.3,人民币,否,无,海螺集团；海创公司
600586,金晶科技,2019-11-21,Q593081963,和讯网,金晶科技,金晶节能,金晶镀膜100%股权,100%,4.01,人民币,否,无,金晶节能
